FID,BLOCKID10,HOUSING10,POP10,X,Y
"7,465",420032406001006,25,54,"1,348,613.064770000100000","421,933.433469999990000"
"7,466",420032406001033,0,0,"1,349,393.647200000000000","419,918.193174000010000"
"7,467",420039809001021,0,0,"1,332,130.989580000100000","420,925.441426999980000"
"7,468",420039806001016,0,0,"1,332,519.941459999900000","415,996.974962999990000"
"7,469",420039809001020,0,0,"1,332,764.892990000100000","419,791.876569000010000"
"7,470",420032715003022,13,27,"1,333,971.471730000100000","422,650.297688000020000"
"7,471",420032715002022,24,53,"1,334,766.947930000000000","422,653.189706999980000"
"7,472",420032715002033,8,13,"1,333,983.594910000000000","421,962.233870000000000"
"7,473",420039809001046,0,0,"1,333,819.400730000100000","419,373.170000999990000"
"7,474",420032507001031,12,26,"1,335,053.752739999900000","418,854.831474000010000"
"7,475",420039806001012,0,0,"1,333,532.581460000000000","417,143.997288000010000"
"7,476",420032107002023,19,17,"1,334,558.451180000100000","417,627.882753000010000"
"7,477",420032107002024,0,0,"1,334,380.562260000000000","417,415.343469000010000"
"7,478",420032507001057,0,0,"1,335,548.838500000100000","418,554.364500999970000"
